Student_ID,Gender,Age,Study_Hours_Daily,Phone_Usage_Hours_Daily,Sleep_Hours_Daily,AI_Tool_Usage_Hours_Daily,Attendance_Pct,Focus_Score,Productivity_Score,Exam_Score
STU00001,Male,21,6.0,1.2,10.0,0.5,91.1,89.5,81.2,92.0
STU00002,Male,24,3.3,3.2,6.3,1.2,68.1,67.0,67.6,71.4
STU00003,Female,18,2.2,4.7,5.2,2.0,53.6,64.1,66.2,57.7
STU00004,Female,20,0.0,10.5,5.4,0.0,39.3,38.4,40.8,44.6
STU00005,Male,18,6.0,3.4,7.1,4.3,85.3,75.2,88.1,97.2
STU00006,Female,20,2.8,6.7,7.7,1.0,88.9,63.7,63.4,79.8
STU00007,Male,19,6.2,4.7,8.0,2.1,91.9,78.4,79.8,94.0
STU00008,Female,22,5.6,2.2,7.8,2.7,100.0,79.2,85.0,95.1
STU00009,Female,19,3.0,3.5,7.9,0.9,75.9,79.9,67.1,70.7
STU00010,Male,18,1.0,4.2,5.9,0.4,63.2,74.1,52.8,59.8
STU00011,Male,20,1.7,2.8,8.6,1.8,75.0,82.6,66.4,64.4
STU00012,Female,23,1.6,7.1,5.0,0.0,71.2,56.8,54.8,60.3
STU00013,Female,19,5.7,1.4,8.1,2.2,99.9,80.4,78.3,93.5
STU00014,Female,21,2.2,1.4,8.2,1.9,90.5,82.2,79.3,84.2
STU00015,Female,22,1.5,3.1,8.3,0.1,83.8,82.0,58.0,66.6
STU00016,Female,23,2.8,1.0,9.1,1.4,73.0,93.7,70.4,80.4
STU00017,Male,20,0.0,8.5,6.2,0.5,35.7,57.6,46.2,45.6
STU00018,Female,24,4.3,2.9,7.0,0.0,85.4,75.4,74.7,84.1
STU00019,Male,20,1.5,8.8,4.0,0.2,45.1,42.9,47.0,54.9
STU00020,Male,22,2.2,3.5,6.1,2.5,70.5,66.6,66.2,61.3
STU00021,Male,18,3.9,7.2,6.4,0.8,73.5,59.8,62.6,73.3
STU00022,Male,22,7.0,1.7,8.1,1.1,88.6,88.7,79.9,92.1
STU00023,Female,19,5.9,3.3,8.6,2.6,95.1,85.7,80.3,92.4
STU00024,Female,19,3.9,0.0,9.0,2.0,100.0,92.1,78.2,88.1
STU00025,Male,21,3.7,3.2,5.7,0.7,75.6,72.8,65.4,78.1
STU00026,Female,23,1.2,4.7,4.9,1.7,66.7,60.3,52.8,56.5
STU00027,Female,22,2.9,6.2,7.4,1.8,75.1,68.4,71.4,73.1
STU00028,Male,22,6.3,0.0,6.9,1.6,94.1,82.5,80.5,90.7
STU00029,Male,18,2.7,7.4,6.3,0.6,76.1,61.7,59.7,68.9
STU00030,Female,25,3.9,0.7,9.3,2.0,90.6,89.8,82.1,85.5
STU00031,Female,20,0.7,7.3,5.5,0.0,42.9,55.2,46.2,48.2
STU00032,Female,18,1.0,6.3,6.1,1.4,37.8,60.4,63.6,57.2
STU00033,Female,25,2.2,7.9,6.3,1.6,56.7,57.1,62.2,59.9
STU00034,Female,22,4.3,3.4,7.1,0.2,100.0,68.4,70.2,85.9
STU00035,Male,25,0.6,8.0,5.7,2.0,62.2,54.0,54.9,54.8
STU00036,Female,18,1.9,6.0,6.2,1.8,65.2,65.6,63.7,68.4
STU00037,Female,19,1.7,8.8,7.6,0.0,56.8,58.0,61.1,59.0
STU00038,Male,24,4.6,4.4,6.8,1.2,89.8,71.9,69.2,81.4
STU00039,Female,24,1.1,5.2,5.4,1.5,70.4,63.3,58.6,62.2
STU00040,Male,25,2.9,2.2,6.9,0.0,69.7,69.3,62.0,70.6
STU00041,Other,20,5.6,3.3,7.5,1.7,99.5,80.6,93.4,98.8
STU00042,Male,25,3.8,2.0,8.9,0.9,92.9,91.0,71.4,86.5
STU00043,Female,19,0.1,8.0,4.0,0.4,39.3,50.5,43.9,40.8
STU00044,Male,25,0.8,4.3,6.2,0.9,62.2,58.4,53.0,59.4
STU00045,Male,22,5.1,0.2,8.7,3.2,91.3,92.7,94.3,89.8
STU00046,Male,19,3.4,7.7,8.1,1.2,85.6,65.5,59.0,73.4
STU00047,Other,23,5.9,1.0,7.7,1.3,97.9,83.9,81.1,92.1
STU00048,Male,23,6.0,3.1,7.3,1.4,91.4,74.0,77.4,96.0
